Domain,QUICstep proxy load(KB),VPN proxy load(KB),Proxy load QUICstep/VPN,loadtime_native,loadtime_vpn,loadtime_quicstep,
google.com,94,922,0.102,422,2554,1282.5,
youtube.com,139,3673,0.038,1694.5,6973,2906.5,
gstatic.com,32,64,0.500,39,462.5,512.0,
doubleclick.net,121,843,0.144,329,1602,1272.0,
googlesyndication.com,91,1270,0.072,368,2481.5,1272.5,
youtu.be,206,3651,0.056,1668.5,6936,2715.5,
goo.gl,124,984,0.126,318,2406.5,1177.0,
google-analytics.com,149,1776,0.084,298.5,4107,1258.5,
blogspot.com,124,1653,0.075,190.5,2884.5,1114.5,
ui.com,438,4498,0.097,900,9067.5,9428.5,
android.com,125,2097,0.060,323,3228.5,718.0,
googleblog.com,22,26,0.846,27,231.5,224.0,
google.com.br,88,1282,0.069,368.5,2378.5,1286.0,
pubmatic.com,175,2641,0.066,4109.5,5046.5,4449.5,
usatoday.com,59,3498,0.017,835.5,9374.5,1730.5,
google.de,88,1283,0.069,354.5,2407,1302.5,
google.co.uk,89,1282,0.069,360.5,2407,1303.5,
blogger.com,121,1651,0.073,193,2907.5,1101.0,
tradingview.com,166,347,0.478,9826,9484.5,9324.0,
google.com.hk,89,1280,0.070,346,2407,1277.5,
google.ca,88,1281,0.069,332,2386.5,1271.0,
google.fr,88,1274,0.069,358.5,2377,1277.5,
google.co.jp,90,1279,0.070,367.5,2395.5,1272.0,
merriam-webster.com,249,2899,0.086,4361,7694.5,9340.5,
google.es,89,1278,0.070,360,2386.5,1283.0,
google.co.in,88,914,0.096,366.5,2395.5,1300.5,
google.it,90,1258,0.072,358.5,2370.5,1311.5,
withgoogle.com,93,1266,0.073,386,2480.5,1290.5,
appspot.com,62,228,0.272,126,600,525.5,
brave.com,17,2373,0.007,438,3828,792.5,
zillow.com,16,18,0.889,30.5,211,214.0,
a-mo.net,21,23,0.913,4016,4109,4108.5,
google.cn,45,47,0.957,26,236,236.0,
google.pl,91,1273,0.071,368,2415,1318.0,
google.com.mx,89,1273,0.070,350.5,2394,1281.0,
google.com.tr,91,1233,0.074,362,2404.5,1277.0,
biblegateway.com,286,2814,0.102,406.5,9477.5,9330.5,
smartthings.com,18,20,0.900,31,231.5,220.5,
typeform.com,98,3537,0.028,1116,5572.5,1581.5,
onet.pl,241,1589,0.152,8326.5,8975.5,8640.5,
www.google.com,77,1243,0.062,346.5,2511,1280.5,
www.youtube.com,96,3634,0.026,1676,6867.5,2574.0,
www.gstatic.com,32,48,0.667,42.5,456,504.5,
www.googlevideo.com,34,50,0.680,28,452,502.5,
www.doubleclick.net,119,848,0.140,337,1583.5,1257.5,
www.amazon.com,95,6033,0.016,4100.5,9543.5,4776.5,
www.goo.gl,34,50,0.680,42,467.5,511.5,
www.google-analytics.com,147,1759,0.084,317,4111,1239.5,
www.blogspot.com,109,1655,0.066,198,2903.5,1097.5,
www.ui.com,447,4498,0.099,957,7937.5,9428.0,
www.pki.goog,79,974,0.081,279.5,1824,462.0,
www.android.com,115,2355,0.049,383.5,3536.5,728.0,
www.imdb.com,15,17,0.882,14,14,18.0,
www.t-online.de,76,1756,0.043,5176,6592,5499.5,
www.googleblog.com,146,196,0.745,93.5,902.5,958.0,
www.mtgglobals.com,14,144,0.097,46,299,241.0,
www.google.com.br,75,1167,0.064,343,2473.5,1289.5,
www.pubmatic.com,173,2648,0.065,4132,5051.5,4451.5,
www.crashlytics.com,147,8760,0.017,1418,8936.5,3195.0,
www.amazon.co.uk,73,113,0.646,4037,4436.5,4492.5,
www.usatoday.com,194,3407,0.057,548.5,9682.5,2264.5,
www.google.de,76,1260,0.060,437,2502,1316.0,
www.google.co.uk,76,1259,0.060,386,2432.5,1288.0,
www.giphy.com,189,11059,0.017,412,9382.5,1463.5,
www.g.page,97,3143,0.031,189,5147.5,917.5,
www.wired.com,138,2730,0.051,5903.5,9301,9509.5,
www.blogger.com,108,1576,0.069,190,2911.5,1117.5,
www.tradingview.com,166,317,0.524,9957,9679.5,9511.5,
www.google.com.hk,76,876,0.087,378.5,2478,1296.0,
www.google.ca,75,1254,0.060,380.5,2433,1276.5,
www.google.fr,76,1258,0.060,338,2439.5,1291.0,
www.google.co.jp,76,1259,0.060,381.5,2459,1300.5,
www.amazon.co.jp,99,4013,0.025,4153,6000,4874.0,
www.merriam-webster.com,250,2908,0.086,4376.5,7953,9513.5,
www.latimes.com,270,3634,0.074,4596.5,9297,9510.5,
www.google.es,75,1259,0.060,384,2458.5,1308.0,
www.google.co.in,75,1257,0.060,351.5,2460,1299.0,
www.theverge.com,49,2510,0.020,2057.5,9642,2181.5,
www.google.it,77,896,0.086,379,2434.5,1299.5,
www.amazon.fr,58,112,0.518,4042,4445.5,4839.5,
www.amazon.in,29,102,0.284,4040,4775.5,4734.5,
www.amazon.ca,29,7744,0.004,4041.5,4429.5,4478.5,
www.withgoogle.com,93,1197,0.078,406,2559.5,1296.5,
www.gumgum.com,447,3761,0.119,1179,8929,9136.5,
www.appspot.com,62,228,0.272,139,608.5,522.0,
www.brave.com,16,2373,0.007,482.5,3829.5,842.5,
www.amazon.it,91,114,0.798,4035.5,4445.5,4577.0,
www.google.cn,15,44,0.341,26,159,116.0,
www.amazon.es,91,1001,0.091,4048,4759,2708.0,
www.google.pl,76,1138,0.067,382.5,2475.5,1307.0,
www.google.com.mx,75,1261,0.059,352.5,2471.5,1283.5,
www.google.com.tr,76,1259,0.060,384,2461,1289.5,
www.amazon.com.br,59,5189,0.011,4088.5,4490,4634.0,
www.biblegateway.com,284,2801,0.101,422.5,9685,9512.0,
www.smartthings.com,18,20,0.900,31.5,228.5,227.0,
www.typeform.com,141,3804,0.037,1175.5,5800.5,1584.0,
www.repubblica.it,57,140,0.407,180.5,858,838.5,
www.onet.pl,263,1620,0.162,8424,9493,8833.0,
www.ryanair.com,16,565,0.028,362.5,1199,649.0,
www.spreaker.com,83,401,0.207,507,1475.5,1586.0,